Rk,Player,Pos,Age,Team?,G,MP,WR,TS,FTr,3PAr,FG,2P,3P,eFG,FT,,
51,Trey Lyles,PF,25,SAS,23,358,0.458,0.574,0.256,0.444,0.478,0.58,0.35,0.556,0.652,,
52,Quinndary Weatherspoon,SG,24,SAS,20,121,0.458,0.547,0.457,0.171,0.457,0.517,0.167,0.471,0.812,,
53,Buddy Hield,SG,28,SAC,71,2433,0.364,0.567,0.105,0.727,0.406,0.447,0.391,0.548,0.846,,
54,Richaun Holmes,C,27,SAC,61,1782,0.364,0.669,0.296,0.019,0.636,0.645,0.182,0.638,0.794,,
55,Harrison Barnes,PF,28,SAC,58,2102,0.364,0.626,0.366,0.399,0.497,0.567,0.391,0.575,0.83,,
56,De'Aaron Fox,PG,23,SAC,58,2036,0.364,0.565,0.376,0.288,0.477,0.539,0.322,0.523,0.719,,
57,Tyrese Haliburton,PG,20,SAC,58,1746,0.364,0.585,0.09,0.478,0.472,0.529,0.409,0.569,0.857,,
58,Marvin Bagley III,PF,21,SAC,43,1112,0.364,0.554,0.274,0.22,0.504,0.55,0.343,0.542,0.575,,
59,Justin James,SF,24,SAC,36,310,0.364,0.548,0.324,0.342,0.469,0.52,0.368,0.532,0.583,,
60,Chimezie Metu,C,23,SAC,36,488,0.364,0.571,0.24,0.207,0.508,0.549,0.351,0.545,0.721,,
61,Hassan Whiteside,C,31,SAC,36,546,0.364,0.566,0.353,0.004,0.562,0.565,0,0.562,0.519,,
62,Kyle Guy,PG,23,SAC,31,235,0.364,0.449,0.227,0.523,0.33,0.381,0.283,0.403,0.8,,
63,Glenn Robinson III,SF,27,SAC,23,369,0.364,0.554,0.232,0.444,0.424,0.473,0.364,0.505,0.913,,
64,Enes Kanter,C,28,POR,72,1758,0.583,0.636,0.292,0.007,0.604,0.607,0.25,0.605,0.774,,
65,Robert Covington,PF,30,POR,70,2243,0.583,0.553,0.122,0.699,0.401,0.451,0.379,0.533,0.806,,
66,Carmelo Anthony,PF,36,POR,69,1690,0.583,0.547,0.198,0.418,0.421,0.429,0.409,0.506,0.89,,
67,Damian Lillard,PG,30,POR,67,2398,0.583,0.623,0.363,0.528,0.451,0.519,0.391,0.554,0.928,,
68,Anfernee Simons,SG,21,POR,64,1104,0.583,0.589,0.142,0.703,0.419,0.403,0.425,0.569,0.807,,
69,Derrick Jones Jr.,SF,23,POR,58,1318,0.583,0.576,0.299,0.447,0.484,0.619,0.316,0.554,0.648,,
70,Nassir Little,PF,20,POR,48,640,0.583,0.589,0.27,0.479,0.467,0.575,0.35,0.551,0.8,,
71,CJ McCollum,SG,29,POR,47,1600,0.583,0.577,0.15,0.475,0.458,0.509,0.402,0.554,0.812,,
72,Harry Giles,C,22,POR,38,348,0.583,0.496,0.278,0.237,0.433,0.46,0.348,0.474,0.593,,
73,Jusuf Nurki?,C,26,POR,37,880,0.583,0.554,0.339,0.09,0.513,0.525,0.4,0.532,0.62,,
74,CJ Elleby,SF,20,POR,30,192,0.583,0.468,0.227,0.515,0.379,0.562,0.206,0.432,0.733,,
75,Mikal Bridges,SF,24,PHO,72,2348,0.708,0.667,0.196,0.471,0.543,0.647,0.425,0.643,0.84,,
76,Chris Paul,PG,35,PHO,70,2199,0.708,0.599,0.206,0.293,0.499,0.543,0.395,0.557,0.934,,
77,Deandre Ayton,C,22,PHO,69,2115,0.708,0.653,0.252,0.029,0.626,0.639,0.2,0.629,0.769,,
78,Devin Booker,SG,24,PHO,67,2270,0.708,0.587,0.305,0.288,0.484,0.543,0.34,0.533,0.867,,
79,Jevon Carter,PG,25,PHO,60,717,0.708,0.548,0.031,0.677,0.421,0.528,0.371,0.547,0.571,,
80,Jae Crowder,PF,30,PHO,60,1648,0.708,0.574,0.152,0.772,0.405,0.455,0.39,0.555,0.76,,
81,Cameron Johnson,PF,24,PHO,60,1437,0.708,0.563,0.122,0.694,0.42,0.581,0.349,0.541,0.848,,
82,Cameron Payne,PG,26,PHO,60,1079,0.708,0.602,0.142,0.42,0.483,0.515,0.44,0.576,0.893,,
83,Dario Šari?,C,26,PHO,50,871,0.708,0.567,0.289,0.395,0.447,0.512,0.348,0.516,0.849,,
84,Frank Kaminsky,C,27,PHO,47,715,0.708,0.547,0.234,0.331,0.471,0.523,0.365,0.531,0.617,,
85,Langston Galloway,SG,29,PHO,40,438,0.708,0.605,0.157,0.578,0.449,0.484,0.423,0.571,0.957,,
86,E'Twaun Moore,SG,31,PHO,27,389,0.708,0.523,0.116,0.289,0.455,0.512,0.314,0.5,0.857,,
87,Jalen Smith,PF,20,PHO,27,156,0.708,0.499,0.14,0.34,0.44,0.545,0.235,0.48,0.714,,
88,Abdel Nader,SF,27,PHO,24,355,0.708,0.605,0.319,0.371,0.491,0.534,0.419,0.569,0.757,,
89,Danny Green,SF,33,PHI,69,1934,0.681,0.582,0.073,0.794,0.412,0.438,0.405,0.573,0.775,,
90,Dwight Howard,C,35,PHI,69,1196,0.681,0.61,0.693,0.066,0.588,0.611,0.25,0.596,0.576,,
91,Matisse Thybulle,SG,23,PHI,65,1298,0.681,0.508,0.074,0.589,0.42,0.59,0.301,0.508,0.444,,
92,Shake Milton,SG,24,PHI,63,1461,0.681,0.549,0.264,0.304,0.45,0.493,0.35,0.503,0.83,,
93,Tobias Harris,PF,28,PHI,62,2014,0.681,0.597,0.221,0.225,0.512,0.546,0.394,0.556,0.892,,
94,Tyrese Maxey,SG,20,PHI,61,935,0.681,0.531,0.163,0.24,0.462,0.512,0.301,0.498,0.871,,
95,Ben Simmons,PG,24,PHI,58,1877,0.681,0.584,0.492,0.017,0.557,0.562,0.3,0.56,0.613,,
96,Seth Curry,SG,30,PHI,57,1638,0.681,0.607,0.14,0.507,0.467,0.485,0.45,0.582,0.896,,
